Banda	O
Aceh	O
,	O
InfoPublik	O
-	O
Dua	O
guru	O
asal	O
Provinsi	O
Aceh	O
kembali	O
mengharumkan	O
nama	O
daerahnya	O
setelah	O
meraih	O
dua	O
Juara	O
Pertama	O
pada	O
Malam	O
Puncak	O
Hari	O
Guru	O
Nasional	O
(	O
HGN	O
)	O
,	O
Jumat	O
malam	O
(	O
29	O
/	O
11	O
/	O
2024	O
)	O
.	O

Kedua	O
guru	O
Raudhatul	O
Athfal	O
(	O
RA	O
)	O
yang	O
menerima	O
penghargaan	O
dan	O
dana	O
pembinaan	O
dari	O
Menteri	O
Agama	O
(	O
Menag	O
)	O
Prof	O
.	O
Dr	O
.	O
H	O
.	O
Nasaruddin	O
Umar	O
MA	O
yakni	O
Hudenah	O
(	O
RA	O
Ceding	O
Ayu	O
Aceh	O
Tengah	O
)	O
di	O
Kategori	O
Guru	O
Dedikatif	O
,	O
dan	O
Vini	O
Firliani	O
(	O
RA	O
Al	O
Fitra	O
Aceh	O
Tengah	O
)	O
di	O
Kategori	O
Guru	O
Inspiratif	O
RA	O
.	O
Kepala	U-ROLE
Kanwil	B-AFFILIATION
Kementerian	I-AFFILIATION
Agama	I-AFFILIATION
Provinsi	I-AFFILIATION
Aceh	L-AFFILIATION
Drs	O
.	O
H	O
.	O
Azhari	U-PERSON
meyampaikan	U-CUE
apresiasi	B-STATEMENT
dan	I-STATEMENT
rasa	I-STATEMENT
syukur	I-STATEMENT
atas	I-STATEMENT
capaian	I-STATEMENT
maksimal	I-STATEMENT
para	I-STATEMENT
pendidik	I-STATEMENT
asal	I-STATEMENT
Aceh	I-STATEMENT
tersebut	L-STATEMENT
.	O

"	O
Semoga	O
dengan	O
raihan	O
terbaik	O
nasional	O
ini	O
,	O
akan	O
tambah	O
menyemangati	O
dan	O
kian	O
memotivasi	O
rekan	O
guru	O
lainnya	O
,	O
pelbagai	O
jenjang	O
untuk	O
terus	O
andilkan	O
dan	O
abdikan	O
diri	O
dalam	O
layani	O
generasi	O
gemilang	O
Aceh	O
,	O
"	O
tutur	O
Azhari	O
.	O

Dari	O
19	O
kategori	O
yang	O
dilombakan	O
,	O
kata	U-CUECOREF
Azhari	U-PERSONCOREF
,	O
Aceh	B-STATEMENT
meraih	I-STATEMENT
dua	I-STATEMENT
kategori	I-STATEMENT
sebagai	I-STATEMENT
juara	I-STATEMENT
pertama	L-STATEMENT
.	O

Kabid	U-ROLE
Pendidikan	B-AFFILIATION
Madrasah	L-AFFILIATION
(	O
Penmad	O
)	O
H	O
Zulkifli	U-PERSON
yang	O
ikut	O
mendampingi	O
duta	O
Aceh	O
,	O
menyampaikan	U-CUE
bahwa	O
pada	B-STATEMENT
Malam	I-STATEMENT
Anugerah	I-STATEMENT
Guru	I-STATEMENT
dan	I-STATEMENT
Tenaga	I-STATEMENT
Kependidikan	I-STATEMENT
(	I-STATEMENT
GTK	I-STATEMENT
)	I-STATEMENT
di	I-STATEMENT
Asrama	I-STATEMENT
Haji	I-STATEMENT
Banda	I-STATEMENT
Aceh	I-STATEMENT
,	I-STATEMENT
ada	I-STATEMENT
penganugerahan	I-STATEMENT
penghargaan	I-STATEMENT
untuk	I-STATEMENT
Kategori	I-STATEMENT
Guru	I-STATEMENT
Dedikatif	I-STATEMENT
RA	I-STATEMENT
,	I-STATEMENT
Juara	I-STATEMENT
I	I-STATEMENT
atas	I-STATEMENT
nama	I-STATEMENT
Hudenah	I-STATEMENT
dan	I-STATEMENT
Kategori	I-STATEMENT
Guru	I-STATEMENT
Inspiratif	I-STATEMENT
RA	I-STATEMENT
atas	I-STATEMENT
nama	I-STATEMENT
Vini	I-STATEMENT
Firliani	L-STATEMENT
.	O

Keduanya	O
dari	O
Aceh	O
Tengah	O
.	O

Pada	O
pncak	O
HGN	O
yang	O
beriringan	O
dengan	O
Hari	O
PGRI	O
,	O
Direktorat	O
Guru	O
dan	O
Tenaga	O
Kependidikan	O
Ditjen	O
Pendis	O
Kemenag	O
RI	O
marayakan	O
malam	O
puncak	O
Hari	O
Guru	O
2024	O
dengan	O
tema	O
"	O
Guru	O
Berdaya	O
Indonesia	O
Jaya	O
"	O
.	O

Dalam	O
kesempatan	O
ini	O
,	O
kata	U-CUECOREF
Shulfan	U-PERSON
yang	O
pernah	O
mengepalai	O
MAN	O
IC	O
Idi	O
Atim	O
,	O
Kanwil	B-STATEMENT
Kemenag	I-STATEMENT
Aceh	I-STATEMENT
ambil	I-STATEMENT
bagian	I-STATEMENT
dan	I-STATEMENT
ikut	I-STATEMENT
membawa	I-STATEMENT
dua	I-STATEMENT
guru	I-STATEMENT
terbaik	I-STATEMENT
setelah	I-STATEMENT
melalui	I-STATEMENT
tahapan	I-STATEMENT
seleksi	I-STATEMENT
di	I-STATEMENT
tingkat	I-STATEMENT
provinsi	L-STATEMENT
.	O

Sebagai	O
tambahan	O
,	O
ujar	U-CUECOREF
Shulfan	U-PERSONCOREF
,	O
sebelum	B-STATEMENT
Malam	I-STATEMENT
Anugerah	I-STATEMENT
GTK	I-STATEMENT
,	I-STATEMENT
jumlah	I-STATEMENT
peserta	I-STATEMENT
yang	I-STATEMENT
mengikuti	I-STATEMENT
Anugerah	I-STATEMENT
GTK	I-STATEMENT
berprestasi	I-STATEMENT
pada	I-STATEMENT
HGN	I-STATEMENT
2024	I-STATEMENT
mencapai	I-STATEMENT
188	I-STATEMENT
peserta	I-STATEMENT
dari	I-STATEMENT
Kementerian	I-STATEMENT
Agama	I-STATEMENT
kab	I-STATEMENT
/	I-STATEMENT
kota	L-STATEMENT
.	O

Ada	O
empat	O
Kemenag	O
kab	O
/	O
kota	O
tidak	O
mengirim	O
pesertanya	O
.	O

"	O
Paling	O
banyak	O
yang	O
mengirim	O
peserta	O
dari	O
Kemenag	O
Aceh	O
Tengah	O
yang	O
berjumlah	O
38	O
peserta	O
,	O
"	O
ujarnya	O
.	O

Tahun	O
ini	O
Kanwil	O
Kemenag	O
Provinsi	O
Aceh	O
menempati	O
peringkat	O
ketiga	O
nasional	O
,	O
sehingga	O
mendapatkan	O
Anugerah	O
Guru	O
dan	O
Tenaga	O
Kependidikan	O
Berprestasi	O
2024	O
dari	O
Menag	O
.	O

(	O
Mc	O
Aceh	O
/	O
03r	O
)	O
Terlihat	O
Kadis	B-ROLE
Pendidikan	I-ROLE
dan	I-ROLE
Kebudayaan	L-ROLE
Kota	B-AFFILIATION
Lhokseumawe	L-AFFILIATION
Drs	O
Sopian	U-PERSON
(	O
tengah	O
)	O
membuka	O
kegiatan	O
Strategi	O
Peningkatan	O
Mutu	O
Pendidikan	O
yang	O
berlangsung	O
di	O
Wisma	O
Kuta	O
Karang	O
Lama	O
.	O

FOTO	O
|	O
DAHLAN	O
AMRY	O
POSKOTASUMATERA	O
.	O

COM	O
|	O
LHOKSEUMAWE	O
-	O
Kepala	O
Dinas	O
Pendidikan	O
dan	O
Kebudayaan	O
Kota	O
Lhokseumawe	O
Drs	O
.	O
Sopian	O
,	O
M	O
.	O
Pd	O
dengan	O
resmi	O
membuka	O
kegiatan	O
Strategi	O
Peningkatan	O
Mutu	O
Pendidikan	O
di	O
Satuan	O
Pendidikan	O
bagi	O
guru	O
penggerak	O
dalam	O
wilayah	O
Kota	O
Lhokseumawe	O
.	O

Kegiatan	O
ini	O
sangat	O
penting	O
dilaksanakan	O
untuk	O
menciptakan	O
pengembangan	O
diri	O
khususnya	O
bagi	O
guru	O
penggerak	O
di	O
kota	O
Lhokseumawe	O
.	O

Sebagaimana	O
kita	O
ketahui	O
slogan	O
belajar	O
sepanjang	O
hayat	O
demi	O
untuk	O
memperbarui	O
pengetahuan	O
dan	O
keterampilan	O
melalui	O
pelatihan	O
,	O
workshop	O
,	O
atau	O
kursus	O
.	O

Disamping	O
itu	O
,	O
evaluasi	O
secara	O
berkala	O
terhadap	O
praktik	O
pembelajaran	O
untuk	O
mengidentifikasi	O
area	O
yang	O
perlu	O
diperbaiki	O
.	O

Kolaborasi	B-STATEMENT
dengan	I-STATEMENT
sesama	I-STATEMENT
guru	I-STATEMENT
,	I-STATEMENT
berbagi	I-STATEMENT
pengalaman	I-STATEMENT
dan	I-STATEMENT
ide	I-STATEMENT
untuk	I-STATEMENT
meningkatkan	I-STATEMENT
